ans,ups
"['Glory be to Ukraine!\nСлава Україні!\nСлава Украине!\n(为了过滤无脑喷，本回答不用中文。)\nI love Russian language, culture and history, but I STAND WITH UKRAINE in this war.\nЯ люблю російську мову, культуру та історію, але в цій війні я підтримую Україну.\nЯ люблю русский язык, культуру и историю, но в этой войне я поддерживаю украину.\n\nInvaders will be crushed, let the flag of independence and freedom lead Ukraine people to the path toward victory and peace!\nЗагарбники будуть розгромлені, нехай прапор незалежності і свободи веде народ України на шлях до перемоги і миру!\nЗахватчики будут раздавлены, пусть флаг независимости и свободы ведет народ Украины на путь победы и мира!']",29
['我支持俄罗斯的敌人'],61
['简单支持下乌克兰。'],85
['我支持乌克兰，你不服？不服憋着'],116
['我其实一直在想，那些动不动就扣1450的人，是真的蠢到以为和他想法不同的人都是境外来的，还是他其实很清楚，不是蠢而是坏而已，要是在某个时期，绝对是帽子一扣就拉人上去批斗的人。\nPS 我支持乌克兰，如果普通人不支持反侵略的一方，仅仅因为政府立场而去支持侵略方，那么我们离军国主义就不远了。历史已经无数次证明军国主义最终的结果不会是星辰大海，被绑在军国主义道路上的人民最终都会付出代价的。\n还有政府的立场不代表国家的立场，政府其实代表的是核心利益集团的，而人民的立场才是国家的立场，这是很多人想不通的。很多时候对外战争就是用来转移国内人民对政府的矛盾的，用表面上的“爱国主义”，把人民绑在战争里，矛头就一致对外了。整件事情对人民并没有好处，最终代价也是人民付出的，获利的只有当权者。\n就像普京入侵乌克兰一样，对毛子人民并没有什么好处，甚至被制裁的越凶，外界越孤立，普通俄罗斯人就被迫或者自发的团结在政府这边，普京等人的位置就会越稳固。我之前一直不理解普京为什么会如此严重误判战争局势，明明是突袭的一方，却完全没打出突袭的效果。现在的局势根本无法达到他想要的吞并东乌甚至去军事化的目的。但如果让俄罗斯被孤立，陷于内忧外患就是最终目的的话，那么实际上就是很成功。借此机会舆论网络控制了，反对派压制了，自己的支持率又上升了。即时战争并不下乌克兰，损失的只是底层人民而已，高层反而是获利了。当然这个只是我的推测，实际上可能就是普京年纪大了，严重误判了俄军和乌军的战斗力。'],499
['俄匪什么时候去见尼老二啊，好急啊（笑）'],61
['帝都人支持乌克兰'],59
['反正我还是坚定地反对俄罗斯……\n1 从道义上来说，支持乌东独立等于支持台湾独立，支持俄罗斯进攻乌克兰等于支持日本侵华（它们的口号和理由都是一模一样的）。\n2 从利益上来说，俄罗斯这种做法，事实上掐掉了一带一路（哦，不过我们一开始搞起一带一路的时候，俄罗斯就警告过包括乌克兰在内的周边其他国家不要加入一带一路的）。\n3 从战略上来说，俄罗斯的表现已经让其失去了其相对于欧洲的一部分其他国家的统战价值（那些对俄国还有一些恐惧的，以及那些愿意和意识形态与文化完全不同的其他国家进行合作的，都是良好的统战对象）。\n4 从国际名誉上来说，我国事实上承诺过保障乌克兰的独立，俄罗斯宣战当天没直接陈兵东北西北并对俄罗斯进行战略核威慑，就已经算得上是出尔反尔了。当然，大国外交总要有那么点无耻劲，反正“为了避免核战争”这种冠冕堂皇的理由一大把。但如果你还非要支持俄罗斯的行为的话，到时候亚非拉的小国会怎么看你？你还是你宣称的那个负责任的大国吗？'],358
['一如既往的支持俄罗斯\n啊，我对乌克兰本身没什么成见，也不是非常喜欢俄罗斯，但是我就是憎恨西方，憎恨西方人，憎恨绝大部分西方价值观，除了动保主义。\n因为我就是一根筋，嫉恶如仇，我就是看不得邪恶势力在人间招摇，我就是希望美国下地狱，西方下地狱，自由世界（又名帝国主义集团）下地狱，西方和它们邪恶的文明下地狱，下地狱，下地狱!!!\n就像这位前法国驻联合国大使说的。'],31
['我就没弄懂，我一个中国人为啥非得在别人的战争里死战一个？\n合着我说一句泽连斯基不好等于我是俄孝子，说一句俄罗斯有点拉胯就是1450？\n我就不能：\n情绪上同情包括乌克兰西部地区在内的所有平民（仅限平民）；\n立场上尊重国家主权；\n原则上反对纳粹势力抬头和北约东扩；\n利益上希望俄罗斯再坚挺几十年；\n对俄罗斯的无奈和愤怒感同身受表示理解；\n对泽连斯基等政治团体为了攫取政治利益不择手段的行为感到恶心；\n以此为鉴牢记革命尚未成功，帝国主义亡我之心不死，永远不忘霸权主义、修正主义和美帝的大缺大德。\n\n不行吗？'],1116
['这有啥的，当然支持乌克兰啊'],59
['我不但觉得现阶段应该支持乌克兰，更应该直接进行军事动员武装瓜分俄国\n致电评论区一些人:我不知道为什么有一些人不相信解放军的战斗力能保卫祖国，却反而相信贪污腐败，战斗力拉跨的俄罗斯军队可以为中国抵挡，谁是真正的逆向民族主义不言而喻'],261
['我支持乌克兰。希望兔友别幻想着自己和露西亚唇亡齿寒了，露西亚仅仅想拉个蠢货垫背而已'],329
['这个世界最奇妙的事情是：反者，道之动。\n美国支持乌克兰，实际上只是利用乌克兰来把俄罗斯拉入战火。真正支持乌克兰的话，会和美国支持以色列一样，用核武、高科技装备、直接出兵去保护乌克兰。\n所以，美国给点掌声，给点承诺，就是支持乌克兰吗？明明是恨乌克兰不死。\n很多人在高呼支持乌克兰，可是，连美国都如此恨乌克兰不死，其他人又能怎么支持乌克兰呢？所以，乌克兰就在你们这群所谓的支持声中，被一而再再而三地推进火坑，乌克兰的肢体在战火中熊熊燃烧。\n美国所谓的支持，并不会得逞。\n网络上对乌克兰的支持，最终会因为美国的失败而消声灭迹。\n时间还有一些，慢慢看吧。\n跳梁小丑，徒增笑尔。\n还满嘴正义，倒是有趣。'],80
['无聊的问题，但是在这个时候。\n我支持俄罗斯，只因为在接下来的大战中，大家是在一个阵营。'],60
['我支持乌克兰\n但我觉得你更该去举办地址显示在台湾的帝吧官微\n5月1日下午2点\n果然奇妙深刻的生物一个晚上就成堆出现了'],219
['坚决支持乌克兰的反侵略战争，坚决打击、坚决反对俄罗斯的侵略战争。\n支持正义的反侵略战争、打击邪恶的侵略战争。\n这回显示IP属地了，那些扣大帽子50W、1450、湾湾们的汉奸们可以闭嘴了，那些扣大帽子50W、1450、湾湾们的俄罗斯网军们可以闭嘴了。\n秋后的蚂蚱，你们还能蹦跶几天啊，早晚有逮捕、审判你们的时候！！！\n人在做，天在看，善有善报恶有恶报、不是不报时候未到、时候一到全都来报。\n坚决谴责、反对、打击那些发动战争的屠夫们！！！\n坚决谴责、反对、打击那些发动战争的刽子手们！！！\n坚决谴责、反对、打击那些发动战争的战犯们！！！\n这回显示IP属地了，那些给老百姓扣大帽子的汉奸和俄罗斯网军们露馅了、暴露了，翻翻他们的历史记录。'],3487
['那太好了，支持乌克兰，好奇，给我扣帽子的人在想什么\n评论区现身说法了属于是，原来终极招数是地域黑。'],55
